actual_cost,date,items,quantity,row_id,row_name
396021.62,2021-01-01,4336,420267.0,,england
379518.91,2021-02-01,4220,404336.0,,england
430342.5,2021-03-01,4798,458189.0,,england
431959.07,2021-04-01,4758,454561.0,,england
411620.73,2021-05-01,4626,436500.0,,england
433338.46,2021-06-01,4905,459600.0,,england
437363.68,2021-07-01,4975,461720.0,,england
420156.18,2021-08-01,4844,441025.0,,england
447454.0,2021-09-01,5225,468969.0,,england
433128.06,2021-10-01,5098,452551.0,,england
459850.31,2021-11-01,5441,478144.0,,england
459505.94,2021-12-01,5606,468158.0,,england
484910.33,2022-01-01,5818,499280.0,,england
446508.17,2022-02-01,5389,453040.0,,england
506730.02,2022-03-01,6302,520460.0,,england
494637.87,2022-04-01,6172,500486.0,,england
522432.91,2022-05-01,6504,529051.0,,england
526214.09,2022-06-01,6582,528205.0,,england
515054.83,2022-07-01,6643,518856.0,,england
541566.87,2022-08-01,6856,543443.0,,england
550797.53,2022-09-01,7196,552767.0,,england
564521.6,2022-10-01,7331,560454.0,,england
547723.92,2022-11-01,7319,544104.0,,england
559649.04,2022-12-01,7379,548325.0,,england
634793.28,2023-01-01,7123,526129.0,,england
646314.29,2023-02-01,7632,585963.0,,england
753537.59,2023-03-01,8687,644907.0,,england
714841.45,2023-04-01,8201,598593.0,,england
762729.29,2023-05-01,8980,641939.0,,england
801190.96,2023-06-01,9225,668640.0,,england
798813.82,2023-07-01,9382,681583.0,,england
806783.46,2023-08-01,9550,674468.0,,england
790211.86,2023-09-01,9243,664589.0,,england
815608.6,2023-10-01,11529,812562.0,,england
955350.69,2023-11-01,13529,934029.0,,england
886209.48,2023-12-01,12678,915688.0,,england
956237.58,2024-01-01,13633,1018500.0,,england
953692.56,2024-02-01,13445,964936.0,,england
955202.23,2024-03-01,13645,954501.0,,england
1100448.26,2024-04-01,13947,980817.0,,england
1120201.25,2024-05-01,14126,985748.0,,england
1065355.78,2024-06-01,13385,946080.0,,england
1053776.25,2024-07-01,14460,991759.0,,england
1072151.96,2024-08-01,14520,1000694.0,,england
1049287.51,2024-09-01,14653,977167.0,,england
1091786.36,2024-10-01,15700,1035002.0,,england
1084106.54,2024-11-01,15410,1018513.0,,england
1089206.21,2024-12-01,15799,1031315.0,,england
1137457.99,2025-01-01,16718,1064911.0,,england
1093695.29,2025-02-01,16071,1022813.0,,england
1163328.33,2025-03-01,17383,1077369.0,,england
1139244.66,2025-04-01,17343,1075557.0,,england
1239038.28,2025-05-01,18981,1164525.0,,england
1225466.85,2025-06-01,18736,1144092.0,,england
1187497.72,2025-07-01,19941,1198124.0,,england
1133727.87,2025-08-01,19135,1141114.0,,england
1202123.2,2025-09-01,20628,1216013.0,,england
1192970.74,2025-10-01,21829,1263889.0,,england
1137164.92,2025-11-01,20820,1202024.0,,england
1248302.52,2025-12-01,22983,1319398.0,,england
