actual_cost,date,items,quantity,row_id,row_name
2420.55,2021-01-01,38,2829.0,00L,NHS NORTHUMBERLAND
382.36,2021-01-01,6,450.0,00N,NHS SOUTH TYNESIDE
1879.53,2021-01-01,34,2126.0,00P,NHS SUNDERLAND
1582.71,2021-01-01,17,1852.0,00Q,NHS BLACKBURN WITH DARWEN
391.5,2021-01-01,3,448.0,00R,NHS BLACKPOOL
672.71,2021-01-01,6,818.0,00T,NHS BOLTON
24.78,2021-01-01,1,30.0,00V,NHS BURY
1255.62,2021-01-01,13,1232.0,00X,NHS CHORLEY AND SOUTH RIBBLE
621.53,2021-01-01,5,756.0,00Y,NHS OLDHAM
2122.82,2021-01-01,18,2552.0,01A,NHS EAST LANCASHIRE
432.85,2021-01-01,4,388.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
1310.12,2021-01-01,15,964.0,01E,NHS GREATER PRESTON
138.12,2021-01-01,1,168.0,01F,NHS HALTON
1360.81,2021-01-01,15,1230.0,01G,NHS SALFORD
2237.41,2021-01-01,27,2306.0,01H,NHS NORTH CUMBRIA
184.15,2021-01-01,1,224.0,01J,NHS KNOWSLEY
4455.65,2021-01-01,54,4774.0,01K,NHS MORECAMBE BAY
276.23,2021-01-01,2,336.0,01T,NHS SOUTH SEFTON
244.5,2021-01-01,2,114.0,01V,NHS SOUTHPORT AND FORMBY
587.28,2021-01-01,6,644.0,01W,NHS STOCKPORT
207.18,2021-01-01,2,252.0,01X,NHS ST HELENS
990.29,2021-01-01,12,1120.0,01Y,NHS TAMESIDE AND GLOSSOP
679.44,2021-01-01,6,840.0,02A,NHS TRAFFORD
198.18,2021-01-01,3,226.0,02E,NHS WARRINGTON
438.18,2021-01-01,7,420.0,02G,NHS WEST LANCASHIRE
1207.3,2021-01-01,15,1378.0,02H,NHS WIGAN BOROUGH
1151.37,2021-01-01,10,1316.0,02M,NHS FYLDE AND WYRE
789.04,2021-01-01,11,798.0,02P,NHS BARNSLEY
310.9,2021-01-01,5,378.0,02Q,NHS BASSETLAW
2000.63,2021-01-01,12,2418.0,02T,NHS CALDERDALE
1268.89,2021-01-01,11,1528.0,02X,NHS DONCASTER
1037.22,2021-01-01,13,1042.0,02Y,NHS EAST RIDING OF YORKSHIRE
258.25,2021-01-01,5,284.0,03F,NHS HULL
411.28,2021-01-01,4,500.0,03H,NHS NORTH EAST LINCOLNSHIRE
836.61,2021-01-01,7,522.0,03K,NHS NORTH LINCOLNSHIRE
276.22,2021-01-01,1,336.0,03L,NHS ROTHERHAM
2845.91,2021-01-01,39,3244.0,03N,NHS SHEFFIELD
1498.23,2021-01-01,11,1642.0,03Q,NHS VALE OF YORK
1661.11,2021-01-01,16,1858.0,03R,NHS WAKEFIELD
