actual_cost,date,items,quantity,row_id,row_name
236880.47,2021-01-01,3420,112458.0,,england
219118.03,2021-02-01,3274,104205.0,,england
257947.61,2021-03-01,3790,122992.0,,england
255003.4,2021-04-01,3733,121167.0,,england
252315.64,2021-05-01,3672,119969.0,,england
269002.42,2021-06-01,3955,127681.0,,england
273026.07,2021-07-01,4003,129412.0,,england
252903.68,2021-08-01,3677,119492.0,,england
288339.39,2021-09-01,4142,136896.0,,england
273631.88,2021-10-01,3988,130122.0,,england
288586.25,2021-11-01,4226,137165.0,,england
318491.7,2021-12-01,4658,151233.0,,england
311229.25,2022-01-01,4516,146971.0,,england
288959.27,2022-02-01,4201,136810.0,,england
334054.11,2022-03-01,4913,158310.0,,england
315944.77,2022-04-01,4687,149336.0,,england
342404.62,2022-05-01,4946,161879.0,,england
328068.03,2022-06-01,4808,155258.0,,england
340276.82,2022-07-01,4881,161137.0,,england
327305.72,2022-08-01,4798,154810.0,,england
342248.0,2022-09-01,4963,162293.0,,england
356600.67,2022-10-01,5153,169061.0,,england
372794.09,2022-11-01,5442,176484.0,,england
374898.7,2022-12-01,5402,177195.0,,england
389495.8,2023-01-01,5626,184452.0,,england
360560.67,2023-02-01,5233,170287.0,,england
422400.47,2023-03-01,6172,199676.0,,england
378948.08,2023-04-01,5523,178599.0,,england
426541.5,2023-05-01,6185,200804.0,,england
444822.34,2023-06-01,6422,209985.0,,england
445991.12,2023-07-01,6431,211336.0,,england
434344.25,2023-08-01,6433,206205.0,,england
442194.9,2023-09-01,6627,210093.0,,england
399336.38,2023-10-01,6148,192940.0,,england
267199.93,2023-11-01,4159,127698.0,,england
394701.12,2023-12-01,5606,191130.0,,england
466249.79,2024-01-01,6711,221779.0,,england
386855.18,2024-02-01,5740,184659.0,,england
410539.21,2024-03-01,6030,195715.0,,england
403403.43,2024-04-01,5684,191913.0,,england
493604.35,2024-05-01,7047,235265.0,,england
438260.61,2024-06-01,6365,207645.0,,england
480931.63,2024-07-01,6979,227684.0,,england
438932.26,2024-08-01,6433,207118.0,,england
459636.88,2024-09-01,6812,217696.0,,england
489330.46,2024-10-01,7276,230508.0,,england
489394.96,2024-11-01,7191,231290.0,,england
506074.04,2024-12-01,7441,238948.0,,england
539136.65,2025-01-01,7909,254051.0,,england
487340.39,2025-02-01,7218,229584.0,,england
525725.84,2025-03-01,7783,248362.0,,england
520807.52,2025-04-01,7765,245253.0,,england
556768.02,2025-05-01,8269,262236.0,,england
556478.3,2025-06-01,8248,261895.0,,england
613656.93,2025-07-01,9038,288413.0,,england
528250.52,2025-08-01,7962,248121.0,,england
594702.02,2025-09-01,8876,279503.0,,england
608665.1,2025-10-01,9083,285922.0,,england
578119.44,2025-11-01,8662,272272.0,,england
654811.01,2025-12-01,9722,308115.0,,england
