actual_cost,date,items,quantity,row_id,row_name
1235884.63,2021-01-01,19584,560758.0,,england
1185151.91,2021-02-01,18809,536850.0,,england
1387557.63,2021-03-01,22013,629827.0,,england
1372522.63,2021-04-01,21827,622855.0,,england
1349125.87,2021-05-01,21585,613045.0,,england
1446703.72,2021-06-01,23197,657302.0,,england
1466953.11,2021-07-01,23429,665393.0,,england
1388509.88,2021-08-01,22149,628605.0,,england
1554159.86,2021-09-01,24837,706916.0,,england
1545637.77,2021-10-01,24815,703022.0,,england
1634867.19,2021-11-01,26305,742609.0,,england
1730716.11,2021-12-01,27627,785138.0,,england
1728535.59,2022-01-01,27716,783916.0,,england
1651028.69,2022-02-01,26458,747794.0,,england
1944940.45,2022-03-01,31264,883276.0,,england
1936444.15,2022-04-01,31575,878511.0,,england
2062535.41,2022-05-01,33315,936448.0,,england
2096597.85,2022-06-01,34366,963401.0,,england
2104191.77,2022-07-01,33970,955038.0,,england
1976751.43,2022-08-01,31734,885261.0,,england
2337474.25,2022-09-01,37666,1064210.0,,england
2325602.7,2022-10-01,37398,1056174.0,,england
2402131.55,2022-11-01,38334,1088824.0,,england
2446907.58,2022-12-01,38958,1108333.0,,england
2540179.41,2023-01-01,40637,1149090.0,,england
2411154.75,2023-02-01,38375,1088578.0,,england
2849517.49,2023-03-01,45491,1284153.0,,england
2674124.65,2023-04-01,42573,1200757.0,,england
2968085.49,2023-05-01,47286,1333085.0,,england
3029448.13,2023-06-01,48004,1350721.0,,england
3058700.16,2023-07-01,48718,1372169.0,,england
3073624.55,2023-08-01,48977,1375161.0,,england
2939113.3,2023-09-01,48053,1381760.0,,england
2380963.45,2023-10-01,38736,1122844.0,,england
2415600.37,2023-11-01,37640,1112356.0,,england
2240509.56,2023-12-01,35169,985847.0,,england
2775460.92,2024-01-01,42773,1200401.0,,england
2619534.01,2024-02-01,39566,1130210.0,,england
3202221.43,2024-03-01,48782,1424030.0,,england
3498122.62,2024-04-01,51172,1461338.0,,england
3597672.53,2024-05-01,53039,1510494.0,,england
3522844.0,2024-06-01,50994,1496941.0,,england
3986440.23,2024-07-01,56082,1722255.0,,england
4079673.95,2024-08-01,58124,1752790.0,,england
4120622.26,2024-09-01,59754,1760571.0,,england
4470281.65,2024-10-01,65453,1901882.0,,england
4455308.13,2024-11-01,65530,1893841.0,,england
4545158.68,2024-12-01,66661,1926104.0,,england
4896972.27,2025-01-01,72519,2077475.0,,england
4533797.96,2025-02-01,67291,1921737.0,,england
5032015.91,2025-03-01,74947,2132591.0,,england
5144324.96,2025-04-01,77014,2178591.0,,england
5616488.74,2025-05-01,84452,2377286.0,,england
5596482.87,2025-06-01,84279,2367085.0,,england
6010828.57,2025-07-01,91202,2557500.0,,england
5711723.62,2025-08-01,86296,2410171.0,,england
6229734.14,2025-09-01,94081,2625468.0,,england
6576036.09,2025-10-01,99398,2772228.0,,england
6288183.59,2025-11-01,94681,2646118.0,,england
6952884.85,2025-12-01,104184,2920201.0,,england
