actual_cost,date,items,quantity,row_id,row_name
20362.26,2021-01-01,854,37068.0,00L,NHS NORTHUMBERLAND
6402.77,2021-01-01,238,10479.0,00N,NHS SOUTH TYNESIDE
9187.82,2021-01-01,362,15855.0,00P,NHS SUNDERLAND
10523.11,2021-01-01,335,11790.0,00Q,NHS BLACKBURN WITH DARWEN
11222.07,2021-01-01,339,12794.0,00R,NHS BLACKPOOL
8637.22,2021-01-01,240,8268.0,00T,NHS BOLTON
13820.42,2021-01-01,441,14899.0,00V,NHS BURY
6906.34,2021-01-01,220,8306.0,00X,NHS CHORLEY AND SOUTH RIBBLE
10159.66,2021-01-01,338,14231.0,00Y,NHS OLDHAM
22563.23,2021-01-01,762,26800.0,01A,NHS EAST LANCASHIRE
10123.81,2021-01-01,313,10833.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
9614.11,2021-01-01,320,10703.0,01E,NHS GREATER PRESTON
2227.76,2021-01-01,50,2072.0,01F,NHS HALTON
27431.12,2021-01-01,900,29341.0,01G,NHS SALFORD
18816.7,2021-01-01,572,21007.0,01H,NHS NORTH CUMBRIA
1767.76,2021-01-01,47,1866.0,01J,NHS KNOWSLEY
18200.34,2021-01-01,721,25085.0,01K,NHS MORECAMBE BAY
3025.27,2021-01-01,80,2876.0,01T,NHS SOUTH SEFTON
1840.02,2021-01-01,54,2038.0,01V,NHS SOUTHPORT AND FORMBY
17270.31,2021-01-01,534,17791.0,01W,NHS STOCKPORT
10147.84,2021-01-01,266,17670.0,01X,NHS ST HELENS
10047.99,2021-01-01,302,11121.0,01Y,NHS TAMESIDE AND GLOSSOP
13842.46,2021-01-01,428,14065.0,02A,NHS TRAFFORD
1396.84,2021-01-01,29,1368.0,02E,NHS WARRINGTON
3513.3,2021-01-01,117,3924.0,02G,NHS WEST LANCASHIRE
23715.33,2021-01-01,859,30929.0,02H,NHS WIGAN BOROUGH
7976.1,2021-01-01,277,8803.0,02M,NHS FYLDE AND WYRE
12016.31,2021-01-01,437,18889.0,02P,NHS BARNSLEY
3102.56,2021-01-01,91,3404.0,02Q,NHS BASSETLAW
4625.97,2021-01-01,158,6439.0,02T,NHS CALDERDALE
