financial_year,age_band,gender,identified_patients,identified_patients_5y_ago,growth_5y_pct,baseline_year,latest_year
2024/25,0 to 4,Female,9,11,-18.2,2019/20,2024/25
2024/25,0 to 4,Male,29,44,-34.1,2019/20,2024/25
2024/25,10 to 14,Female,16866,8630,95.4,2019/20,2024/25
2024/25,10 to 14,Male,54173,38494,40.7,2019/20,2024/25
2024/25,15 to 19,Female,20103,7132,181.9,2019/20,2024/25
2024/25,15 to 19,Male,39544,24242,63.1,2019/20,2024/25
2024/25,20 to 24,Female,15394,3992,285.6,2019/20,2024/25
2024/25,20 to 24,Male,17413,9556,82.2,2019/20,2024/25
2024/25,25 to 29,Female,16742,3228,418.6,2019/20,2024/25
2024/25,25 to 29,Male,16685,6739,147.6,2019/20,2024/25
2024/25,30 to 34,Female,15523,2599,497.3,2019/20,2024/25
2024/25,30 to 34,Male,15510,4443,249.1,2019/20,2024/25
2024/25,35 to 39,Female,12117,2185,454.6,2019/20,2024/25
2024/25,35 to 39,Male,11306,3076,267.6,2019/20,2024/25
2024/25,40 to 44,Female,9230,2115,336.4,2019/20,2024/25
2024/25,40 to 44,Male,8035,2512,219.9,2019/20,2024/25
2024/25,45 to 49,Female,7023,2050,242.6,2019/20,2024/25
2024/25,45 to 49,Male,5840,2252,159.3,2019/20,2024/25
2024/25,5 to 9,Female,4904,3683,33.2,2019/20,2024/25
2024/25,5 to 9,Male,17138,16493,3.9,2019/20,2024/25
2024/25,50 to 54,Female,4994,1562,219.7,2019/20,2024/25
2024/25,50 to 54,Male,4394,1609,173.1,2019/20,2024/25
2024/25,55 to 59,Female,3103,1065,191.4,2019/20,2024/25
2024/25,55 to 59,Male,2673,1075,148.7,2019/20,2024/25
2024/25,60 to 64,Female,1582,674,134.7,2019/20,2024/25
2024/25,60 to 64,Male,1410,683,106.4,2019/20,2024/25
2024/25,65 to 69,Female,712,503,41.6,2019/20,2024/25
2024/25,65 to 69,Male,704,501,40.5,2019/20,2024/25
2024/25,70 to 74,Female,434,375,15.7,2019/20,2024/25
2024/25,70 to 74,Male,412,401,2.7,2019/20,2024/25
2024/25,75 to 79,Female,293,250,17.2,2019/20,2024/25
2024/25,75 to 79,Male,305,246,24.0,2019/20,2024/25
2024/25,80 to 84,Female,154,173,-11.0,2019/20,2024/25
2024/25,80 to 84,Male,145,146,-0.7,2019/20,2024/25
2024/25,85 to 89,Female,92,78,17.9,2019/20,2024/25
2024/25,85 to 89,Male,73,82,-11.0,2019/20,2024/25
2024/25,90+,Female,24,41,-41.5,2019/20,2024/25
2024/25,90+,Male,24,25,-4.0,2019/20,2024/25
