date,drug,total_items,nic_gbp
2015-04-01,atomoxetine,7635.0,585091.76
2015-05-01,atomoxetine,7736.0,587375.68
2015-06-01,atomoxetine,7976.0,621781.5
2015-07-01,atomoxetine,8455.0,653587.67
2015-08-01,atomoxetine,7320.0,557957.21
2015-09-01,atomoxetine,8258.0,629884.6
2015-10-01,atomoxetine,8290.0,632931.68
2015-11-01,atomoxetine,8067.0,620106.73
2015-12-01,atomoxetine,8932.0,688652.06
2016-01-01,atomoxetine,8377.0,637528.54
2016-02-01,atomoxetine,7989.0,617772.31
2016-03-01,atomoxetine,8673.0,668022.76
2016-04-01,atomoxetine,8770.0,678107.93
2016-05-01,atomoxetine,8544.0,557251.42
2016-06-01,atomoxetine,8748.0,576689.34
2016-07-01,atomoxetine,8782.0,570916.28
2016-08-01,atomoxetine,8445.0,533389.77
2016-09-01,atomoxetine,8931.0,577325.79
2016-10-01,atomoxetine,8551.0,544451.45
2016-11-01,atomoxetine,9172.0,587373.64
2016-12-01,atomoxetine,9230.0,594373.75
2017-01-01,atomoxetine,8907.0,569096.69
2017-02-01,atomoxetine,8399.0,532757.22
2017-03-01,atomoxetine,9626.0,622569.46
2017-04-01,atomoxetine,8388.0,533203.62
2017-05-01,atomoxetine,9329.0,597646.75
2017-06-01,atomoxetine,9389.0,600694.19
2017-07-01,atomoxetine,9382.0,597785.98
2017-08-01,atomoxetine,8810.0,560633.94
2017-09-01,atomoxetine,9082.0,586147.47
2017-10-01,atomoxetine,8997.0,577018.79
2017-11-01,atomoxetine,9217.0,590970.66
2017-12-01,atomoxetine,9258.0,596055.86
2018-01-01,atomoxetine,9504.0,604539.48
2018-02-01,atomoxetine,8509.0,543100.23
2018-03-01,atomoxetine,9540.0,608119.39
2018-04-01,atomoxetine,9011.0,575301.89
2018-05-01,atomoxetine,9446.0,601230.18
2018-06-01,atomoxetine,9310.0,598441.12
2018-07-01,atomoxetine,9470.0,599713.88
2018-08-01,atomoxetine,9332.0,594585.8
2018-09-01,atomoxetine,8978.0,573244.81
2018-10-01,atomoxetine,9792.0,621969.88
2018-11-01,atomoxetine,9527.0,602296.57
2018-12-01,atomoxetine,9474.0,605049.23
2019-01-01,atomoxetine,9717.0,620299.43
2019-02-01,atomoxetine,8796.0,557634.64
2019-03-01,atomoxetine,9775.0,629116.92
2019-04-01,atomoxetine,9217.0,580118.45
2019-05-01,atomoxetine,10236.0,647197.92
2019-06-01,atomoxetine,9589.0,613520.54
2019-07-01,atomoxetine,9884.0,633313.15
2019-08-01,atomoxetine,9981.0,623709.13
2019-09-01,atomoxetine,9827.0,612613.24
2019-10-01,atomoxetine,10447.0,642261.25
2019-11-01,atomoxetine,9854.0,602857.73
2019-12-01,atomoxetine,10221.0,619626.14
2020-01-01,atomoxetine,10573.0,639731.17
2020-02-01,atomoxetine,9620.0,576013.63
2020-03-01,atomoxetine,11050.0,661173.54
2020-04-01,atomoxetine,10487.0,615770.54
2020-05-01,atomoxetine,10049.0,589163.11
2020-06-01,atomoxetine,10326.0,602056.02
2020-07-01,atomoxetine,10798.0,628510.76
2020-08-01,atomoxetine,9637.0,559356.83
2020-09-01,atomoxetine,10482.0,614443.73
2020-10-01,atomoxetine,10893.0,619357.88
2020-11-01,atomoxetine,10478.0,601065.49
2020-12-01,atomoxetine,11305.0,646797.38
2021-01-01,atomoxetine,10758.0,616982.55
2021-02-01,atomoxetine,10171.0,575466.91
2021-03-01,atomoxetine,11363.0,650039.53
2021-04-01,atomoxetine,11219.0,635012.53
2021-05-01,atomoxetine,10672.0,608411.06
2021-06-01,atomoxetine,11600.0,657749.49
2021-07-01,atomoxetine,11439.0,546944.35
2021-08-01,atomoxetine,10775.0,480953.81
2021-09-01,atomoxetine,11533.0,465936.87
2021-10-01,atomoxetine,11059.0,404379.01
2021-11-01,atomoxetine,11620.0,389053.86
2021-12-01,atomoxetine,12005.0,379898.71
2022-01-01,atomoxetine,11837.0,358387.44
2022-02-01,atomoxetine,11048.0,311241.3
2022-03-01,atomoxetine,12559.0,340499.65
2022-04-01,atomoxetine,12013.0,301081.23
2022-05-01,atomoxetine,12370.0,304352.39
2022-06-01,atomoxetine,12467.0,292521.14
2022-07-01,atomoxetine,12417.0,284598.66
2022-08-01,atomoxetine,12421.0,273090.11
2022-09-01,atomoxetine,12868.0,283135.89
2022-10-01,atomoxetine,12593.0,269766.6
2022-11-01,atomoxetine,13124.0,273767.09
2022-12-01,atomoxetine,13120.0,272073.74
2023-01-01,atomoxetine,13390.0,269669.58
2023-02-01,atomoxetine,12545.0,252677.28
2023-03-01,atomoxetine,14312.0,282386.24
2023-04-01,atomoxetine,12739.0,253611.71
2023-05-01,atomoxetine,13584.0,286913.99
2023-06-01,atomoxetine,13341.0,267958.45
2023-07-01,atomoxetine,12939.0,285844.23
2023-08-01,atomoxetine,11837.0,531382.08
2023-09-01,atomoxetine,10832.0,621225.76
2023-10-01,atomoxetine,11775.0,739219.84
2023-11-01,atomoxetine,13086.0,888923.85
2023-12-01,atomoxetine,12807.0,887479.07
2024-01-01,atomoxetine,13147.0,871665.82
2024-02-01,atomoxetine,12560.0,785993.55
2024-03-01,atomoxetine,13001.0,793866.26
2024-04-01,atomoxetine,13355.0,866124.8
2024-05-01,atomoxetine,13929.0,889534.59
2024-06-01,atomoxetine,13418.0,859457.09
2024-07-01,atomoxetine,14320.0,958365.71
2024-08-01,atomoxetine,13437.0,902783.84
2024-09-01,atomoxetine,14232.0,944854.92
2024-10-01,atomoxetine,15098.0,1042915.74
2024-11-01,atomoxetine,14486.0,998136.56
2024-12-01,atomoxetine,15030.0,1055987.67
2025-01-01,atomoxetine,15408.0,939848.99
2025-02-01,atomoxetine,14253.0,867544.0
2025-03-01,atomoxetine,15350.0,926181.04
2015-04-01,dexamfetamine,2637.0,292334.03
2015-05-01,dexamfetamine,2588.0,282609.28
2015-06-01,dexamfetamine,2756.0,312039.34
2015-07-01,dexamfetamine,2771.0,301524.51
2015-08-01,dexamfetamine,2506.0,272234.97
2015-09-01,dexamfetamine,2652.0,288657.38
2015-10-01,dexamfetamine,2823.0,303905.0
2015-11-01,dexamfetamine,2652.0,295061.84
2015-12-01,dexamfetamine,2941.0,320877.01
2016-01-01,dexamfetamine,2669.0,293328.04
2016-02-01,dexamfetamine,2649.0,293768.05
2016-03-01,dexamfetamine,2811.0,309758.61
2016-04-01,dexamfetamine,2887.0,318069.52
2016-05-01,dexamfetamine,2734.0,300562.96
2016-06-01,dexamfetamine,2838.0,303972.39
2016-07-01,dexamfetamine,2793.0,308921.48
2016-08-01,dexamfetamine,2838.0,316902.61
2016-09-01,dexamfetamine,2776.0,310229.81
2016-10-01,dexamfetamine,2821.0,311536.89
2016-11-01,dexamfetamine,2813.0,312836.72
2016-12-01,dexamfetamine,2937.0,319835.95
2017-01-01,dexamfetamine,2786.0,306549.7
2017-02-01,dexamfetamine,2685.0,298223.7
2017-03-01,dexamfetamine,3013.0,333475.28
2017-04-01,dexamfetamine,2768.0,303228.71
2017-05-01,dexamfetamine,2868.0,314335.4
2017-06-01,dexamfetamine,2978.0,297278.54
2017-07-01,dexamfetamine,2920.0,288543.63
2017-08-01,dexamfetamine,3061.0,312724.02
2017-09-01,dexamfetamine,2984.0,306974.81
2017-10-01,dexamfetamine,2985.0,303742.31
2017-11-01,dexamfetamine,3096.0,317542.67
2017-12-01,dexamfetamine,3046.0,315828.8
2018-01-01,dexamfetamine,3079.0,323382.09
2018-02-01,dexamfetamine,2758.0,288271.3
2018-03-01,dexamfetamine,3086.0,322913.26
2018-04-01,dexamfetamine,3007.0,315901.63
2018-05-01,dexamfetamine,3155.0,335280.16
2018-06-01,dexamfetamine,3197.0,335391.7
2018-07-01,dexamfetamine,3175.0,330359.97
2018-08-01,dexamfetamine,3130.0,331694.95
2018-09-01,dexamfetamine,2939.0,306768.1
2018-10-01,dexamfetamine,3170.0,333826.76
2018-11-01,dexamfetamine,3098.0,330988.11
2018-12-01,dexamfetamine,3115.0,329335.49
2019-01-01,dexamfetamine,3229.0,337434.4
2019-02-01,dexamfetamine,2974.0,306958.7
2019-03-01,dexamfetamine,3261.0,327661.39
2019-04-01,dexamfetamine,3412.0,347759.73
2019-05-01,dexamfetamine,3672.0,382760.69
2019-06-01,dexamfetamine,3404.0,348714.81
2019-07-01,dexamfetamine,3506.0,365000.93
2019-08-01,dexamfetamine,3674.0,387286.07
2019-09-01,dexamfetamine,3493.0,360154.24
2019-10-01,dexamfetamine,3723.0,378472.88
2019-11-01,dexamfetamine,3616.0,375645.13
2019-12-01,dexamfetamine,3689.0,385365.44
2020-01-01,dexamfetamine,3854.0,401528.28
2020-02-01,dexamfetamine,3589.0,373763.12
2020-03-01,dexamfetamine,3973.0,411443.83
2020-04-01,dexamfetamine,3907.0,404168.77
2020-05-01,dexamfetamine,3796.0,393361.9
2020-06-01,dexamfetamine,3898.0,404721.82
2020-07-01,dexamfetamine,4156.0,419491.34
2020-08-01,dexamfetamine,3785.0,379638.77
2020-09-01,dexamfetamine,4116.0,414463.91
2020-10-01,dexamfetamine,4234.0,426112.33
2020-11-01,dexamfetamine,4120.0,406512.84
2020-12-01,dexamfetamine,4453.0,440522.14
2021-01-01,dexamfetamine,4228.0,414715.01
2021-02-01,dexamfetamine,4092.0,396812.5
2021-03-01,dexamfetamine,4673.0,452189.01
2021-04-01,dexamfetamine,4611.0,451613.92
2021-05-01,dexamfetamine,4517.0,432904.34
2021-06-01,dexamfetamine,4789.0,457367.23
2021-07-01,dexamfetamine,4865.0,459841.9
2021-08-01,dexamfetamine,4748.0,443295.38
2021-09-01,dexamfetamine,5087.0,467179.76
2021-10-01,dexamfetamine,4950.0,452769.88
2021-11-01,dexamfetamine,5282.0,481675.04
2021-12-01,dexamfetamine,5485.0,480572.24
2022-01-01,dexamfetamine,5691.0,507857.62
2022-02-01,dexamfetamine,5237.0,463443.68
2022-03-01,dexamfetamine,6212.0,534470.2
2022-04-01,dexamfetamine,5909.0,511716.74
2022-05-01,dexamfetamine,6314.0,544679.04
2022-06-01,dexamfetamine,6370.0,546388.24
2022-07-01,dexamfetamine,6419.0,535870.33
2022-08-01,dexamfetamine,6657.0,567015.93
2022-09-01,dexamfetamine,6971.0,576690.69
2022-10-01,dexamfetamine,7136.0,592169.5
2022-11-01,dexamfetamine,7089.0,569866.88
2022-12-01,dexamfetamine,7154.0,581401.72
