MEASURE_ID,MEASURE_NAME
M001,Count_ReferralsReceived
M002,Count_SelfReferrals
M003,Count_GPReferrals
M004,Count_HealthVisitorReferrals
M005,Count_OtherPrimaryCareReferrals
M006,Count_CarerReferrals
M007,Count_LAReferrals
M008,Count_EmployerReferrals
M009,Count_JusticeSystemReferrals
M010,Count_ChildHealthReferrals
M011,Count_IndependentVoluntaryReferrals
M012,Count_SecondaryCareReferrals
M013,Count_OtherMHReferrals
M014,Count_InternalReferrals
M017,Count_OtherReferrals
M018,Count_NHSTalkingTherapiesReferrals
M019,Count_OpenReferralNoActivity60days
M020,Count_OpenReferralNoActivity61to90days
M021,Count_OpenReferralNoActivity91to120days
M022,Count_OpenReferralNoActivityOver120days
M023,Count_FirstAssessment
M024,Count_FirstAssessment28days
M025,Count_FirstAssessment29to56days
M026,Count_FirstAssessment57to90days
M027,Count_FirstAssessmentOver90days
M028,Count_EndedBeforeAssessment
M029,Count_WaitingForAssessment
M030,Count_WaitingForAssessmentOver90days
M031,Count_AccessingServices
M032,Count_AccessingServices28days
M033,Count_AccessingServices29to56days
M034,Count_AccessingServices57to90days
M035,Count_AccessingServicesOver90days
M036,Count_AccessingServices6Weeks
M037,Count_AccessingServices18Weeks
M038,Count_WaitingForTreatment
M039,Count_WaitingForTreatment0to2weeks
M040,Count_WaitingForTreatment0to4weeks
M041,Count_WaitingForTreatment0to6weeks
M042,Count_WaitingForTreatment0to12weeks
M043,Count_WaitingForTreatment0to18weeks
M044,Count_WaitingForTreatmentOver18weeks
M045,Count_WaitingForTreatmentOver90days
M046,Count_FirstToSecondTreatmentOver28days
M047,Count_FirstToSecondTreatmentOver90days
M048,Mean_WaitAccessingServices
M049,Median_WaitAccessingServices
M050,Mean_WaitFinishedCourseTreatment
M051,Median_WaitFinishedCourseTreatment
M052,Count_AccessingServices6WeeksFinishedCourseTreatment
M053,Percentage_AccessingServices6WeeksFinishedCourseTreatment
M054,Count_AccessingServices18WeeksFinishedCourseTreatment
M055,Percentage_AccessingServices18WeeksFinishedCourseTreatment
M056,Count_EndedReferrals
M057,Count_EndedNotSuitable
M058,Count_EndedSignposted
M059,Count_EndedMutualAgreement
M060,Count_EndedReferredElsewhere
M061,Count_EndedDeclined
M062,Count_EndedDeceasedAssessedOnly
M063,Count_EndedUnknownAssessedOnly
M066,Count_EndedCompleted
M069,Count_EndedDeceasedTreated
M070,Count_EndedUnknownTreated
M071,Count_EndedInvalid
M072,Count_EndedNoReasonRecorded
M073,Count_EndedNotSeen
M074,Count_EndedSeenNotTreated
M075,Count_EndedTreatedOnce
M076,Count_FinishedCourseTreatment
M077,Percentage_EndedBeforeTreatment
M078,Percentage_EndedTreatedOnce
M079,Percentage_EndedFinishedCourseTreatment
M080,Percentage_EndedOneOrMoreTreatment
M081,Percentage_FinishedCourseTreatmentEndedOneOrMoreTreatment
M082,Count_Appointments
M083,Count_ApptsCancelledPatient
M084,Count_ApptsDNA
M085,Count_ApptsCancelledProvider
M086,Count_ApptsAttended
M087,Count_ApptsAttendedLate
M088,Count_ApptsLateNotSeen
M089,Count_ApptsFinishedCourseTreatment
M090,Count_GuideSelfHelpBookAppts
M091,Count_NonGuideSelfHelpBookAppts
M092,Count_GuideSelfHelpCompAppts
M093,Count_NonGuideSelfHelpCompAppts
M095,Count_StructPhysActAppts
M097,Count_PsychoEducPeerSuppAppts
M098,Count_OtherLIAppts
M099,Count_EmploySuppAppts
M100,Count_AppRelaxAppts
M1001,Count_FacetoFaceAppts
