actual_cost,date,items,quantity,row_id,row_name
589095.53,2021-01-01,10923,431725.0,,england
550433.66,2021-02-01,10381,402203.0,,england
625539.57,2021-03-01,11616,463358.0,,england
606766.36,2021-04-01,11431,454422.0,,england
585587.12,2021-05-01,10904,433139.0,,england
628275.56,2021-06-01,11794,461066.0,,england
521853.89,2021-07-01,11680,454293.0,,england
467113.66,2021-08-01,11072,440221.0,,england
445592.11,2021-09-01,11774,465453.0,,england
388591.97,2021-10-01,11345,443692.0,,england
375958.21,2021-11-01,11921,476208.0,,england
369149.74,2021-12-01,12247,499351.0,,england
346999.02,2022-01-01,12091,483618.0,,england
301012.75,2022-02-01,11298,458062.0,,england
328100.86,2022-03-01,12876,518015.0,,england
293067.16,2022-04-01,12361,492324.0,,england
295901.08,2022-05-01,12664,508692.0,,england
283395.88,2022-06-01,12712,514849.0,,england
273391.17,2022-07-01,12588,512347.0,,england
263951.6,2022-08-01,12705,497712.0,,england
269762.43,2022-09-01,13053,529438.0,,england
260150.41,2022-10-01,12847,521066.0,,england
263967.15,2022-11-01,13430,536965.0,,england
265819.61,2022-12-01,13311,535753.0,,england
268627.4,2023-01-01,13749,543673.0,,england
244578.79,2023-02-01,12863,511496.0,,england
274400.26,2023-03-01,14685,579002.0,,england
245492.97,2023-04-01,12997,527173.0,,england
279953.87,2023-05-01,14007,567680.0,,england
259636.5,2023-06-01,13654,585699.0,,england
277419.09,2023-07-01,13238,599088.0,,england
510246.1,2023-08-01,12042,621671.0,,england
592505.68,2023-09-01,11019,629647.0,,england
712311.09,2023-10-01,12026,629624.0,,england
855539.12,2023-11-01,13261,674973.0,,england
866944.67,2023-12-01,13112,582351.0,,england
841409.62,2024-01-01,13396,547156.0,,england
755730.36,2024-02-01,12803,514813.0,,england
762964.44,2024-03-01,13231,511260.0,,england
874662.75,2024-04-01,13494,519272.0,,england
896409.05,2024-05-01,14017,549008.0,,england
865609.87,2024-06-01,13485,525285.0,,england
961715.96,2024-07-01,14344,522552.0,,england
908118.29,2024-08-01,13524,466391.0,,england
952201.41,2024-09-01,14338,557309.0,,england
1041125.5,2024-10-01,15069,539189.0,,england
1003113.34,2024-11-01,14470,500534.0,,england
1051535.44,2024-12-01,14928,582814.0,,england
941572.63,2025-01-01,15378,569828.0,,england
866694.45,2025-02-01,14201,530558.0,,england
915771.91,2025-03-01,15242,554493.0,,england
746577.17,2025-04-01,15110,553147.0,,england
793285.27,2025-05-01,16088,586385.0,,england
783213.43,2025-06-01,15939,584301.0,,england
577536.01,2025-07-01,17111,630500.0,,england
540597.9,2025-08-01,16224,582630.0,,england
568759.9,2025-09-01,17254,613840.0,,england
369842.48,2025-10-01,18269,663395.0,,england
350457.89,2025-11-01,17350,626945.0,,england
385624.89,2025-12-01,19128,661659.0,,england
