actual_cost,date,items,quantity,row_id,row_name
9049.63,2021-01-01,187,8088.0,00L,NHS NORTHUMBERLAND
3435.5,2021-01-01,80,2860.0,00N,NHS SOUTH TYNESIDE
2746.45,2021-01-01,59,2530.0,00P,NHS SUNDERLAND
1407.3,2021-01-01,28,812.0,00Q,NHS BLACKBURN WITH DARWEN
3083.64,2021-01-01,58,1764.0,00R,NHS BLACKPOOL
1581.32,2021-01-01,41,1096.0,00T,NHS BOLTON
2425.77,2021-01-01,52,1651.0,00V,NHS BURY
1435.66,2021-01-01,25,1100.0,00X,NHS CHORLEY AND SOUTH RIBBLE
2904.01,2021-01-01,48,1786.0,00Y,NHS OLDHAM
3420.96,2021-01-01,51,2072.0,01A,NHS EAST LANCASHIRE
1464.4,2021-01-01,27,906.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
2310.71,2021-01-01,43,2106.0,01E,NHS GREATER PRESTON
493.12,2021-01-01,7,308.0,01F,NHS HALTON
8757.14,2021-01-01,192,5524.0,01G,NHS SALFORD
2560.07,2021-01-01,46,1478.0,01H,NHS NORTH CUMBRIA
239.35,2021-01-01,3,112.0,01J,NHS KNOWSLEY
2428.31,2021-01-01,55,1428.0,01K,NHS MORECAMBE BAY
462.67,2021-01-01,8,252.0,01T,NHS SOUTH SEFTON
722.37,2021-01-01,12,392.0,01V,NHS SOUTHPORT AND FORMBY
6812.1,2021-01-01,119,5138.0,01W,NHS STOCKPORT
1288.86,2021-01-01,14,700.0,01X,NHS ST HELENS
4375.61,2021-01-01,71,3395.0,01Y,NHS TAMESIDE AND GLOSSOP
1404.08,2021-01-01,31,819.0,02A,NHS TRAFFORD
388.63,2021-01-01,6,224.0,02E,NHS WARRINGTON
1604.11,2021-01-01,19,987.0,02G,NHS WEST LANCASHIRE
5831.97,2021-01-01,110,4074.0,02H,NHS WIGAN BOROUGH
1185.8,2021-01-01,24,693.0,02M,NHS FYLDE AND WYRE
2984.87,2021-01-01,57,1841.0,02P,NHS BARNSLEY
642.19,2021-01-01,12,336.0,02Q,NHS BASSETLAW
452.85,2021-01-01,9,510.0,02T,NHS CALDERDALE
1370.16,2021-01-01,24,1070.0,02X,NHS DONCASTER
1300.42,2021-01-01,22,1544.0,02Y,NHS EAST RIDING OF YORKSHIRE
889.68,2021-01-01,19,1048.0,03F,NHS HULL
1254.62,2021-01-01,21,728.0,03H,NHS NORTH EAST LINCOLNSHIRE
478.16,2021-01-01,9,252.0,03K,NHS NORTH LINCOLNSHIRE
820.95,2021-01-01,12,504.0,03L,NHS ROTHERHAM
4829.99,2021-01-01,87,2781.0,03N,NHS SHEFFIELD
1311.78,2021-01-01,22,783.0,03Q,NHS VALE OF YORK
2532.83,2021-01-01,44,1484.0,03R,NHS WAKEFIELD
5050.73,2021-01-01,100,3641.0,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
3662.25,2021-01-01,70,3628.0,04C,NHS LEICESTER CITY
6711.29,2021-01-01,160,5071.0,04V,NHS WEST LEICESTERSHIRE
211.42,2021-01-01,5,120.0,04Y,NHS CANNOCK CHASE
596.53,2021-01-01,9,364.0,05D,NHS EAST STAFFORDSHIRE
754.17,2021-01-01,18,434.0,05G,NHS NORTH STAFFORDSHIRE
1095.35,2021-01-01,16,644.0,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
314.58,2021-01-01,5,168.0,05V,NHS STAFFORD AND SURROUNDS
1735.44,2021-01-01,29,1552.0,05W,NHS STOKE ON TRENT
8190.58,2021-01-01,152,5513.0,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
6431.27,2021-01-01,128,5104.0,06K,NHS EAST AND NORTH HERTFORDSHIRE
2484.6,2021-01-01,47,1614.0,06L,NHS IPSWICH AND EAST SUFFOLK
4132.1,2021-01-01,62,2980.0,06N,NHS HERTS VALLEYS
2475.73,2021-01-01,52,1465.0,06Q,NHS MID ESSEX
3715.74,2021-01-01,67,2156.0,06T,NHS NORTH EAST ESSEX
2398.05,2021-01-01,46,1672.0,07G,NHS THURROCK
3984.65,2021-01-01,69,2690.0,07H,NHS WEST ESSEX
2775.37,2021-01-01,53,1638.0,07K,NHS WEST SUFFOLK
5454.15,2021-01-01,148,3706.0,09D,NHS BRIGHTON AND HOVE
4879.41,2021-01-01,77,4081.0,10Q,NHS OXFORDSHIRE
768.48,2021-01-01,15,421.0,10R,NHS PORTSMOUTH
16307.77,2021-01-01,278,12501.0,11J,NHS DORSET
4970.15,2021-01-01,116,3946.0,11M,NHS GLOUCESTERSHIRE
2985.36,2021-01-01,53,2282.0,11N,NHS CORNWALL AND THE ISLES OF SCILLY
3208.48,2021-01-01,55,2104.0,11X,NHS SOMERSET
11418.35,2021-01-01,256,6661.0,12F,NHS WIRRAL
3352.83,2021-01-01,89,2468.0,13T,NHS NEWCASTLE GATESHEAD
4413.08,2021-01-01,83,3092.0,14L,NHS MANCHESTER
4260.09,2021-01-01,80,2808.0,14Y,NHS BUCKINGHAMSHIRE
5994.21,2021-01-01,110,3520.0,15A,NHS BERKSHIRE WEST
7433.71,2021-01-01,124,5234.0,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE"
7741.19,2021-01-01,144,5356.0,15E,NHS BIRMINGHAM AND SOLIHULL
4476.1,2021-01-01,74,3938.0,15F,NHS LEEDS
11339.07,2021-01-01,213,8541.0,15M,NHS DERBY AND DERBYSHIRE
10797.71,2021-01-01,190,7814.0,15N,NHS DEVON
4464.75,2021-01-01,89,2994.0,16C,NHS TEES VALLEY
11267.28,2021-01-01,199,8132.0,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
13557.89,2021-01-01,286,8904.0,26A,NHS NORFOLK AND WAVENEY
8615.3,2021-01-01,168,6235.0,27D,NHS CHESHIRE
2367.97,2021-01-01,51,1309.0,36J,NHS BRADFORD DISTRICT AND CRAVEN
16955.06,2021-01-01,313,15919.0,36L,NHS SOUTH WEST LONDON
2768.23,2021-01-01,49,2075.0,42D,NHS NORTH YORKSHIRE
7311.25,2021-01-01,134,5092.0,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
10089.9,2021-01-01,210,6395.0,70F,NHS WEST SUSSEX
5054.55,2021-01-01,91,3177.0,71E,NHS LINCOLNSHIRE
12139.39,2021-01-01,243,7101.0,72Q,NHS SOUTH EAST LONDON
11724.82,2021-01-01,251,8400.0,78H,NHS NORTHAMPTONSHIRE
7645.58,2021-01-01,153,6381.0,84H,NHS COUNTY DURHAM
26049.81,2021-01-01,456,18556.0,91Q,NHS KENT AND MEDWAY
14478.64,2021-01-01,243,13251.0,92A,NHS SURREY HEARTLANDS
8423.98,2021-01-01,126,4970.0,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
13662.87,2021-01-01,203,10210.0,93C,NHS NORTH CENTRAL LONDON
5324.04,2021-01-01,122,4341.0,97R,NHS EAST SUSSEX
3706.03,2021-01-01,68,1995.0,99A,NHS LIVERPOOL
6968.24,2021-01-01,125,7484.0,99C,NHS NORTH TYNESIDE
4768.5,2021-01-01,89,3096.0,99E,NHS BASILDON AND BRENTWOOD
2360.12,2021-01-01,39,1414.0,99F,NHS CASTLE POINT AND ROCHFORD
2360.65,2021-01-01,40,2419.0,99G,NHS SOUTHEND
11464.06,2021-01-01,229,7326.0,A3A8R,NHS NORTH EAST LONDON
6316.68,2021-01-01,144,4199.0,B2M3M,NHS COVENTRY AND WARWICKSHIRE
17005.85,2021-01-01,300,11784.0,D2P2L,NHS BLACK COUNTRY
9836.74,2021-01-01,216,7259.0,D4U1Y,NHS FRIMLEY
23181.58,2021-01-01,430,15432.0,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
7903.71,2021-01-01,133,8655.0,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
3338.27,2021-01-01,56,2478.0,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
11397.17,2021-01-01,198,7637.0,W2U3Z,NHS NORTH WEST LONDON
2011.79,2021-01-01,47,1176.0,X2C4Y,NHS KIRKLEES
9102.39,2021-02-01,207,7765.0,00L,NHS NORTHUMBERLAND
2598.51,2021-02-01,61,1834.0,00N,NHS SOUTH TYNESIDE
2648.57,2021-02-01,55,2509.0,00P,NHS SUNDERLAND
1492.66,2021-02-01,30,868.0,00Q,NHS BLACKBURN WITH DARWEN
2784.53,2021-02-01,49,1596.0,00R,NHS BLACKPOOL
1563.31,2021-02-01,37,1326.0,00T,NHS BOLTON
2119.8,2021-02-01,43,1504.0,00V,NHS BURY
1016.09,2021-02-01,19,560.0,00X,NHS CHORLEY AND SOUTH RIBBLE
1591.56,2021-02-01,32,1226.0,00Y,NHS OLDHAM
3136.26,2021-02-01,47,1932.0,01A,NHS EAST LANCASHIRE
1108.0,2021-02-01,21,674.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
2380.48,2021-02-01,42,1648.0,01E,NHS GREATER PRESTON
