actual_cost,date,items,quantity,row_id,row_name
6044.02,2021-01-01,98,2804.0,00L,NHS NORTHUMBERLAND
298.48,2021-01-01,5,140.0,00N,NHS SOUTH TYNESIDE
404.3,2021-01-01,7,196.0,00P,NHS SUNDERLAND
620.13,2021-01-01,10,280.0,00Q,NHS BLACKBURN WITH DARWEN
557.28,2021-01-01,7,280.0,00R,NHS BLACKPOOL
289.77,2021-01-01,4,132.0,00T,NHS BOLTON
947.13,2021-01-01,15,454.0,00V,NHS BURY
179.86,2021-01-01,3,84.0,00X,NHS CHORLEY AND SOUTH RIBBLE
2583.84,2021-01-01,19,1162.0,00Y,NHS OLDHAM
3400.12,2021-01-01,57,1652.0,01A,NHS EAST LANCASHIRE
457.62,2021-01-01,7,204.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
1032.73,2021-01-01,16,490.0,01E,NHS GREATER PRESTON
841.39,2021-01-01,14,406.0,01G,NHS SALFORD
803.35,2021-01-01,13,392.0,01H,NHS NORTH CUMBRIA
125.38,2021-01-01,2,56.0,01J,NHS KNOWSLEY
1854.03,2021-01-01,25,868.0,01K,NHS MORECAMBE BAY
182.99,2021-01-01,3,84.0,01T,NHS SOUTH SEFTON
894.07,2021-01-01,14,420.0,01W,NHS STOCKPORT
131.9,2021-01-01,2,56.0,01Y,NHS TAMESIDE AND GLOSSOP
1063.83,2021-01-01,18,469.0,02A,NHS TRAFFORD
141.8,2021-01-01,2,56.0,02E,NHS WARRINGTON
210.87,2021-01-01,4,112.0,02G,NHS WEST LANCASHIRE
1544.37,2021-01-01,24,728.0,02H,NHS WIGAN BOROUGH
733.27,2021-01-01,12,336.0,02M,NHS FYLDE AND WYRE
1224.26,2021-01-01,17,598.0,02P,NHS BARNSLEY
387.34,2021-01-01,5,196.0,02Q,NHS BASSETLAW
352.95,2021-01-01,6,168.0,02T,NHS CALDERDALE
653.49,2021-01-01,11,308.0,02X,NHS DONCASTER
3700.23,2021-01-01,56,1778.0,02Y,NHS EAST RIDING OF YORKSHIRE
726.86,2021-01-01,14,337.0,03F,NHS HULL
106.61,2021-01-01,2,56.0,03H,NHS NORTH EAST LINCOLNSHIRE
