actual_cost,date,items,quantity,row_id,row_name
8219.78,2021-01-01,135,3738.0,00L,NHS NORTHUMBERLAND
1952.57,2021-01-01,36,861.0,00N,NHS SOUTH TYNESIDE
4609.6,2021-01-01,76,2046.0,00P,NHS SUNDERLAND
2491.32,2021-01-01,43,1127.0,00Q,NHS BLACKBURN WITH DARWEN
5942.78,2021-01-01,113,2716.0,00R,NHS BLACKPOOL
5211.13,2021-01-01,87,2326.0,00T,NHS BOLTON
4182.99,2021-01-01,68,1911.0,00V,NHS BURY
2103.03,2021-01-01,31,877.0,00X,NHS CHORLEY AND SOUTH RIBBLE
2278.21,2021-01-01,34,1003.0,00Y,NHS OLDHAM
8918.37,2021-01-01,157,3960.0,01A,NHS EAST LANCASHIRE
8375.34,2021-01-01,134,3865.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
3343.05,2021-01-01,54,1470.0,01E,NHS GREATER PRESTON
1791.51,2021-01-01,28,787.0,01F,NHS HALTON
9784.17,2021-01-01,164,4424.0,01G,NHS SALFORD
8513.18,2021-01-01,142,3823.0,01H,NHS NORTH CUMBRIA
560.26,2021-01-01,9,252.0,01J,NHS KNOWSLEY
10414.68,2021-01-01,172,4847.0,01K,NHS MORECAMBE BAY
672.6,2021-01-01,10,308.0,01T,NHS SOUTH SEFTON
528.86,2021-01-01,9,252.0,01V,NHS SOUTHPORT AND FORMBY
7225.42,2021-01-01,114,3413.0,01W,NHS STOCKPORT
4316.09,2021-01-01,53,2034.0,01X,NHS ST HELENS
5871.74,2021-01-01,111,2820.0,01Y,NHS TAMESIDE AND GLOSSOP
5543.92,2021-01-01,93,2488.0,02A,NHS TRAFFORD
1241.9,2021-01-01,17,532.0,02E,NHS WARRINGTON
2233.74,2021-01-01,34,1014.0,02G,NHS WEST LANCASHIRE
11064.66,2021-01-01,186,5038.0,02H,NHS WIGAN BOROUGH
3550.78,2021-01-01,57,1583.0,02M,NHS FYLDE AND WYRE
3507.03,2021-01-01,51,1484.0,02P,NHS BARNSLEY
1041.3,2021-01-01,16,448.0,02Q,NHS BASSETLAW
1361.34,2021-01-01,19,588.0,02T,NHS CALDERDALE
1989.48,2021-01-01,28,924.0,02X,NHS DONCASTER
1225.78,2021-01-01,18,532.0,02Y,NHS EAST RIDING OF YORKSHIRE
2158.26,2021-01-01,40,975.0,03F,NHS HULL
446.52,2021-01-01,8,196.0,03H,NHS NORTH EAST LINCOLNSHIRE
599.82,2021-01-01,9,252.0,03K,NHS NORTH LINCOLNSHIRE
379.64,2021-01-01,5,140.0,03L,NHS ROTHERHAM
15028.55,2021-01-01,239,6726.0,03N,NHS SHEFFIELD
3450.38,2021-01-01,56,1556.0,03Q,NHS VALE OF YORK
6675.63,2021-01-01,102,2940.0,03R,NHS WAKEFIELD
8172.01,2021-01-01,129,3673.0,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
6616.47,2021-01-01,107,2966.0,04C,NHS LEICESTER CITY
14088.9,2021-01-01,219,6329.0,04V,NHS WEST LEICESTERSHIRE
1871.13,2021-01-01,29,812.0,04Y,NHS CANNOCK CHASE
356.99,2021-01-01,6,168.0,05D,NHS EAST STAFFORDSHIRE
1177.03,2021-01-01,19,560.0,05G,NHS NORTH STAFFORDSHIRE
1838.34,2021-01-01,29,818.0,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
1743.65,2021-01-01,29,744.0,05V,NHS STAFFORD AND SURROUNDS
660.67,2021-01-01,9,336.0,05W,NHS STOKE ON TRENT
14902.97,2021-01-01,232,6735.0,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
10554.9,2021-01-01,167,4687.0,06K,NHS EAST AND NORTH HERTFORDSHIRE
3861.94,2021-01-01,61,1764.0,06L,NHS IPSWICH AND EAST SUFFOLK
8562.33,2021-01-01,136,3824.0,06N,NHS HERTS VALLEYS
7979.47,2021-01-01,136,3784.0,06Q,NHS MID ESSEX
5705.02,2021-01-01,92,2584.0,06T,NHS NORTH EAST ESSEX
1972.1,2021-01-01,36,924.0,07G,NHS THURROCK
3596.76,2021-01-01,59,1669.0,07H,NHS WEST ESSEX
5674.57,2021-01-01,88,2555.0,07K,NHS WEST SUFFOLK
11000.85,2021-01-01,175,5039.0,09D,NHS BRIGHTON AND HOVE
20072.46,2021-01-01,312,9081.0,10Q,NHS OXFORDSHIRE
2037.38,2021-01-01,56,919.0,10R,NHS PORTSMOUTH
10532.61,2021-01-01,164,4732.0,11J,NHS DORSET
9142.55,2021-01-01,140,4114.0,11M,NHS GLOUCESTERSHIRE
5680.23,2021-01-01,107,2631.0,11N,NHS CORNWALL AND THE ISLES OF SCILLY
9649.88,2021-01-01,153,4396.0,11X,NHS SOMERSET
29506.46,2021-01-01,503,13664.0,12F,NHS WIRRAL
7368.91,2021-01-01,128,3463.0,13T,NHS NEWCASTLE GATESHEAD
13445.37,2021-01-01,217,6163.0,14L,NHS MANCHESTER
9573.38,2021-01-01,140,4306.0,14Y,NHS BUCKINGHAMSHIRE
13542.0,2021-01-01,212,6255.0,15A,NHS BERKSHIRE WEST
22368.07,2021-01-01,354,10201.0,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE"
7051.21,2021-01-01,106,3179.0,15E,NHS BIRMINGHAM AND SOLIHULL
14435.2,2021-01-01,238,6408.0,15F,NHS LEEDS
18534.22,2021-01-01,311,8581.0,15M,NHS DERBY AND DERBYSHIRE
20629.89,2021-01-01,318,9367.0,15N,NHS DEVON
5976.28,2021-01-01,104,2753.0,16C,NHS TEES VALLEY
12360.92,2021-01-01,201,5495.0,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
26870.83,2021-01-01,426,11564.0,26A,NHS NORFOLK AND WAVENEY
20855.23,2021-01-01,409,9524.0,27D,NHS CHESHIRE
6725.5,2021-01-01,120,2936.0,36J,NHS BRADFORD DISTRICT AND CRAVEN
43042.99,2021-01-01,661,20012.0,36L,NHS SOUTH WEST LONDON
4162.31,2021-01-01,66,1890.0,42D,NHS NORTH YORKSHIRE
4392.18,2021-01-01,69,1953.0,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
17381.58,2021-01-01,304,7840.0,70F,NHS WEST SUSSEX
26026.98,2021-01-01,437,11468.0,71E,NHS LINCOLNSHIRE
57994.68,2021-01-01,859,26035.0,72Q,NHS SOUTH EAST LONDON
20616.56,2021-01-01,339,9233.0,78H,NHS NORTHAMPTONSHIRE
8501.62,2021-01-01,143,3829.0,84H,NHS COUNTY DURHAM
71392.51,2021-01-01,1132,32025.0,91Q,NHS KENT AND MEDWAY
38748.04,2021-01-01,590,17567.0,92A,NHS SURREY HEARTLANDS
15620.58,2021-01-01,227,7223.0,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
44215.51,2021-01-01,672,20214.0,93C,NHS NORTH CENTRAL LONDON
9417.47,2021-01-01,145,4244.0,97R,NHS EAST SUSSEX
7912.93,2021-01-01,125,3675.0,99A,NHS LIVERPOOL
8329.09,2021-01-01,144,3689.0,99C,NHS NORTH TYNESIDE
6343.98,2021-01-01,108,2983.0,99E,NHS BASILDON AND BRENTWOOD
2970.36,2021-01-01,47,1376.0,99F,NHS CASTLE POINT AND ROCHFORD
4107.86,2021-01-01,66,1924.0,99G,NHS SOUTHEND
27575.76,2021-01-01,424,12828.0,A3A8R,NHS NORTH EAST LONDON
12293.15,2021-01-01,191,5553.0,B2M3M,NHS COVENTRY AND WARWICKSHIRE
12007.42,2021-01-01,196,5326.0,D2P2L,NHS BLACK COUNTRY
20610.85,2021-01-01,337,9279.0,D4U1Y,NHS FRIMLEY
38659.02,2021-01-01,601,17527.0,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
21377.87,2021-01-01,356,9718.0,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
17072.7,2021-01-01,271,7509.0,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
69720.26,2021-01-01,1008,31847.0,W2U3Z,NHS NORTH WEST LONDON
2516.55,2021-01-01,36,1097.0,X2C4Y,NHS KIRKLEES
7434.88,2021-02-01,123,3418.0,00L,NHS NORTHUMBERLAND
2133.78,2021-02-01,35,938.0,00N,NHS SOUTH TYNESIDE
4070.59,2021-02-01,67,1766.0,00P,NHS SUNDERLAND
2952.69,2021-02-01,52,1346.0,00Q,NHS BLACKBURN WITH DARWEN
5101.85,2021-02-01,99,2310.0,00R,NHS BLACKPOOL
4782.78,2021-02-01,77,2088.0,00T,NHS BOLTON
4158.65,2021-02-01,68,1911.0,00V,NHS BURY
1912.61,2021-02-01,29,805.0,00X,NHS CHORLEY AND SOUTH RIBBLE
2095.85,2021-02-01,33,930.0,00Y,NHS OLDHAM
7373.42,2021-02-01,120,3290.0,01A,NHS EAST LANCASHIRE
8758.09,2021-02-01,142,4080.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
3642.34,2021-02-01,59,1584.0,01E,NHS GREATER PRESTON
1906.08,2021-02-01,31,831.0,01F,NHS HALTON
9209.07,2021-02-01,155,4177.0,01G,NHS SALFORD
6935.15,2021-02-01,114,3090.0,01H,NHS NORTH CUMBRIA
523.36,2021-02-01,8,224.0,01J,NHS KNOWSLEY
9935.72,2021-02-01,185,4520.0,01K,NHS MORECAMBE BAY
1039.28,2021-02-01,16,448.0,01T,NHS SOUTH SEFTON
386.78,2021-02-01,6,168.0,01V,NHS SOUTHPORT AND FORMBY
5730.82,2021-02-01,92,2671.0,01W,NHS STOCKPORT
5966.18,2021-02-01,76,2904.0,01X,NHS ST HELENS
5152.82,2021-02-01,97,2448.0,01Y,NHS TAMESIDE AND GLOSSOP
5319.55,2021-02-01,88,2359.0,02A,NHS TRAFFORD
831.9,2021-02-01,14,392.0,02E,NHS WARRINGTON
2122.18,2021-02-01,33,952.0,02G,NHS WEST LANCASHIRE
10733.52,2021-02-01,180,4856.0,02H,NHS WIGAN BOROUGH
2802.36,2021-02-01,44,1234.0,02M,NHS FYLDE AND WYRE
3100.43,2021-02-01,45,1314.0,02P,NHS BARNSLEY
1000.5,2021-02-01,16,427.0,02Q,NHS BASSETLAW
2123.44,2021-02-01,27,896.0,02T,NHS CALDERDALE
