actual_cost,date,items,quantity,row_id,row_name
2868236.97,2021-01-01,96017,3779361.0,,england
2689524.91,2021-02-01,89715,3533032.0,,england
3112530.81,2021-03-01,104705,4090932.0,,england
3024879.96,2021-04-01,101926,3992217.0,,england
2976313.75,2021-05-01,100709,3921029.0,,england
3113615.09,2021-06-01,106053,4114870.0,,england
3049607.01,2021-07-01,103979,4054169.0,,england
2826068.41,2021-08-01,95048,3727024.0,,england
3129710.21,2021-09-01,106833,4159922.0,,england
3041227.13,2021-10-01,104121,4042134.0,,england
3184589.36,2021-11-01,109387,4223171.0,,england
3295702.51,2021-12-01,112630,4368482.0,,england
3232242.37,2022-01-01,111296,4306991.0,,england
2987981.94,2022-02-01,102527,3956984.0,,england
3471840.61,2022-03-01,120114,4632497.0,,england
3240346.08,2022-04-01,110916,4291224.0,,england
3509069.71,2022-05-01,119077,4601106.0,,england
3543836.02,2022-06-01,119614,4612250.0,,england
3436992.8,2022-07-01,115583,4469462.0,,england
3281785.63,2022-08-01,110212,4264806.0,,england
3564712.38,2022-09-01,120627,4649589.0,,england
3517772.34,2022-10-01,118885,4607480.0,,england
3749713.83,2022-11-01,125444,4821341.0,,england
3619335.59,2022-12-01,119715,4636655.0,,england
3726423.2,2023-01-01,123774,4791453.0,,england
3658727.54,2023-02-01,121258,4722276.0,,england
4243311.73,2023-03-01,141481,5460597.0,,england
3690291.56,2023-04-01,121967,4719228.0,,england
4065729.25,2023-05-01,135413,5216477.0,,england
4153719.68,2023-06-01,138298,5345124.0,,england
4025608.84,2023-07-01,134060,5188348.0,,england
3858405.24,2023-08-01,127741,4966072.0,,england
4004788.74,2023-09-01,136405,5291919.0,,england
4292295.32,2023-10-01,144268,5602508.0,,england
4428400.32,2023-11-01,146696,5690204.0,,england
4336526.86,2023-12-01,142002,5465486.0,,england
4646550.07,2024-01-01,151079,5809665.0,,england
4221426.68,2024-02-01,140153,5391881.0,,england
4261060.73,2024-03-01,145639,5591891.0,,england
4577132.5,2024-04-01,146517,5691769.0,,england
4684462.62,2024-05-01,151605,6001694.0,,england
4556736.16,2024-06-01,142026,5656711.0,,england
4855994.83,2024-07-01,146713,5854707.0,,england
4376709.67,2024-08-01,132098,5371979.0,,england
4671894.09,2024-09-01,143909,5841902.0,,england
4861577.27,2024-10-01,148842,6086142.0,,england
4763304.81,2024-11-01,145532,5980694.0,,england
4940003.44,2024-12-01,149718,6131163.0,,england
5268106.15,2025-01-01,159465,6409905.0,,england
4794698.8,2025-02-01,144197,5773160.0,,england
5210203.49,2025-03-01,160783,6383466.0,,england
4886825.61,2025-04-01,149234,5913563.0,,england
5238789.32,2025-05-01,161348,6401591.0,,england
5128967.22,2025-06-01,162355,6374687.0,,england
5260820.52,2025-07-01,165646,6507434.0,,england
4826757.42,2025-08-01,148909,5839985.0,,england
5370078.19,2025-09-01,170206,6621685.0,,england
5507571.86,2025-10-01,175678,6774498.0,,england
5191069.73,2025-11-01,167123,6384642.0,,england
5738124.92,2025-12-01,183289,7019175.0,,england
