financial_year,financial_quarter,age_band,identified_patients,total_items,nic_gbp,age_group,note
2015/2016,2015/2016 Q1,0 to 4,12,31,2019.2,children_adolescents,
2015/2016,2015/2016 Q1,10 to 14,27206,87646,3430522.22,children_adolescents,
2015/2016,2015/2016 Q1,15 to 19,19164,60605,2836329.55,children_adolescents,straddles_boundary
2015/2016,2015/2016 Q1,20 to 24,6569,21002,1032769.92,adults,
2015/2016,2015/2016 Q1,25 to 29,3339,10069,485985.09,adults,
2015/2016,2015/2016 Q1,30 to 34,2141,6628,313483.29,adults,
2015/2016,2015/2016 Q1,35 to 39,1930,6083,314443.13,adults,
2015/2016,2015/2016 Q1,40 to 44,2132,7273,346936.1,adults,
2015/2016,2015/2016 Q1,45 to 49,1878,6353,294902.16,adults,
2015/2016,2015/2016 Q1,5 to 9,9835,28960,877321.0,children_adolescents,
2015/2016,2015/2016 Q1,50 to 54,1491,4478,202285.2,adults,
2015/2016,2015/2016 Q1,55 to 59,1114,3464,156977.73,adults,
2015/2016,2015/2016 Q1,60 to 64,894,2543,120542.38,adults,
2015/2016,2015/2016 Q1,65 to 69,763,2215,98145.42,adults,
2015/2016,2015/2016 Q1,70 to 74,521,1446,61650.27,adults,
2015/2016,2015/2016 Q1,75 to 79,381,1113,60117.45,adults,
2015/2016,2015/2016 Q1,80 to 84,241,837,30732.91,adults,
2015/2016,2015/2016 Q1,85 to 89,128,350,17044.06,adults,
2015/2016,2015/2016 Q1,90+,44,147,4520.41,adults,
2015/2016,2015/2016 Q2,0 to 4,29,66,3921.51,children_adolescents,
2015/2016,2015/2016 Q2,10 to 14,27380,87370,3475173.14,children_adolescents,
2015/2016,2015/2016 Q2,15 to 19,17450,55310,2637467.5,children_adolescents,straddles_boundary
2015/2016,2015/2016 Q2,20 to 24,6394,20386,1006811.9,adults,
2015/2016,2015/2016 Q2,25 to 29,3463,10653,511319.77,adults,
2015/2016,2015/2016 Q2,30 to 34,2222,6819,334654.69,adults,
2015/2016,2015/2016 Q2,35 to 39,2034,6328,329114.99,adults,
2015/2016,2015/2016 Q2,40 to 44,2125,7570,357414.39,adults,
2015/2016,2015/2016 Q2,45 to 49,1911,6486,305977.39,adults,
2015/2016,2015/2016 Q2,5 to 9,11112,32581,1010935.21,children_adolescents,
2015/2016,2015/2016 Q2,50 to 54,1504,4633,212109.36,adults,
2015/2016,2015/2016 Q2,55 to 59,1124,3590,162150.5,adults,
2015/2016,2015/2016 Q2,60 to 64,918,2581,125436.39,adults,
2015/2016,2015/2016 Q2,65 to 69,775,2312,105583.59,adults,
2015/2016,2015/2016 Q2,70 to 74,504,1504,67523.08,adults,
2015/2016,2015/2016 Q2,75 to 79,373,1154,60489.06,adults,
2015/2016,2015/2016 Q2,80 to 84,238,831,29553.45,adults,
2015/2016,2015/2016 Q2,85 to 89,121,334,16969.27,adults,
2015/2016,2015/2016 Q2,90+,46,157,4448.07,adults,
2015/2016,2015/2016 Q3,0 to 4,37,111,6743.18,children_adolescents,
2015/2016,2015/2016 Q3,10 to 14,28840,95516,3850814.93,children_adolescents,
2015/2016,2015/2016 Q3,15 to 19,17582,56678,2692837.51,children_adolescents,straddles_boundary
2015/2016,2015/2016 Q3,20 to 24,6566,21367,1045355.78,adults,
