financial_year,icb_name,identified_patients,total_items,nic_gbp
2015/2016,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",1210.0,9859.0,379267.49
2015/2016,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",2409.0,20222.0,821299.49
2015/2016,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,2214.0,14643.0,773250.07
2015/2016,NHS BLACK COUNTRY INTEGRATED CARE BOARD,2594.0,27431.0,1130137.45
2015/2016,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1832.0,13845.0,627948.56
2015/2016,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",3462.0,29038.0,1256662.64
2015/2016,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,1989.0,19126.0,812690.0499999999
2015/2016,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,6482.0,59967.0,2254855.7800000003
2015/2016,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1008.0,7925.0,345209.54000000004
2015/2016,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1051.0,10217.0,376666.62
2015/2016,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2383.0,22871.0,900609.11
2015/2016,NHS DEVON INTEGRATED CARE BOARD,2309.0,20291.0,832846.8500000001
2015/2016,NHS DORSET INTEGRATED CARE BOARD,1736.0,14282.0,695588.58
2015/2016,NHS FRIMLEY INTEGRATED CARE BOARD,1815.0,14562.0,594928.78
2015/2016,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,990.0,9176.0,395323.02
2015/2016,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,6063.0,57883.0,2440762.98
2015/2016,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,3687.0,30518.0,1437023.09
2015/2016,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,1717.0,15441.0,677310.4
2015/2016,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,3093.0,23779.0,1088781.09
2015/2016,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,2037.0,19966.0,803558.9299999999
2015/2016,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,6768.0,60982.0,2775390.1799999997
2015/2016,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,3903.0,39130.0,1590679.3800000001
2015/2016,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",2491.0,21915.0,955329.87
