financial_year,mid_year,icb_name,icb_code,identified_patients,total_items,population,patients_per_100k,items_per_100k
2015/2016,2015,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,E54000032,6768.0,60982.0,1793053.0,377.5,3401.0
2015/2016,2015,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,E54000022,3734.0,36010.0,998295.0,374.0,3607.2
2015/2016,2015,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,E54000059,2378.0,26017.0,733189.0,324.3,3548.5
2015/2016,2015,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,E54000063,3249.0,25920.0,1023269.0,317.5,2533.1
2015/2016,2015,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,E54000026,3401.0,29201.0,1165495.0,291.8,2505.5
2015/2016,2015,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,E54000008,6482.0,59967.0,2445540.0,265.1,2452.1
2015/2016,2015,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,E54000013,1941.0,18239.0,738351.0,262.9,2470.2
2015/2016,2015,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",E54000024,2409.0,20222.0,934640.0,257.7,2163.6
2015/2016,2015,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,E54000060,2871.0,22709.0,1115915.0,257.3,2035.0
2015/2016,2015,NHS FRIMLEY INTEGRATED CARE BOARD,E54000034,1815.0,14562.0,739475.0,245.4,1969.2
2015/2016,2015,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,E54000050,7164.0,75400.0,2929837.0,244.5,2573.5
2015/2016,2015,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",E54000015,2491.0,21915.0,1059406.0,235.1,2068.6
2015/2016,2015,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,E54000048,3903.0,39130.0,1668205.0,234.0,2345.6
2015/2016,2015,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,E54000058,2383.0,22871.0,1034779.0,230.3,2210.2
2015/2016,2015,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,E54000056,1989.0,19126.0,870455.0,228.5,2197.2
2015/2016,2015,NHS DORSET INTEGRATED CARE BOARD,E54000041,1736.0,14282.0,763227.0,227.5,1871.3
2015/2016,2015,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,E54000019,1717.0,15441.0,768243.0,223.5,2009.9
2015/2016,2015,NHS BLACK COUNTRY INTEGRATED CARE BOARD,E54000062,2594.0,27431.0,1173921.0,221.0,2336.7
