icb_key,patients_per_100k_2015,patients_per_100k_2024,patients_growth_pct_10yr,patients_growth_abs_10yr,patients_growth_pct_5yr,patients_growth_abs_5yr,patients_growth_pct_3yr,patients_growth_abs_3yr,patients_growth_pct_1yr,patients_growth_abs_1yr,ICB_NAME,mean_6wk_pct,n_months,icb_name,icb_code,icb_label,accessing_per_100k
KENT AND MEDWAY,377.5,769.5,103.8,392.0,55.2,273.8,34.1,195.7,769.5,769.5,NHS KENT AND MEDWAY ICB,93.55555555555556,9,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,E54000032,Kent And Medway,1624.5
NORFOLK AND WAVENEY,374.0,633.8,69.5,259.8,50.9,213.7,40.5,182.6,633.8,633.8,NHS NORFOLK AND WAVENEY ICB,98.88888888888889,9,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,E54000022,Norfolk And Waveney,2283.5
NORTHAMPTONSHIRE,324.3,632.4,95.0,308.1,48.9,207.7,31.3,150.8,632.4,632.4,NHS NORTHAMPTONSHIRE ICB,72.88888888888889,9,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,E54000059,Northamptonshire,1533.8
SURREY HEARTLANDS,317.5,927.7,192.2,610.2,103.8,472.4,55.4,330.9,927.7,927.7,NHS SURREY HEARTLANDS ICB,99.11111111111111,9,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,E54000063,Surrey Heartlands,2207.8
MID AND SOUTH ESSEX,291.8,810.7,177.8,518.9,96.9,399.0,65.6,321.0,810.7,810.7,NHS MID AND SOUTH ESSEX ICB,99.25555555555556,9,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,E54000026,Mid And South Essex,1879.5
CHESHIRE AND MERSEYSIDE,265.1,1038.3,291.7,773.2,134.9,596.2,63.5,403.1,1038.3,1038.3,NHS CHESHIRE AND MERSEYSIDE ICB,89.30555555555556,9,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,E54000008,Cheshire And Merseyside,2188.3
LINCOLNSHIRE,262.9,842.6,220.5,579.7,116.1,452.6,83.9,384.5,842.6,842.6,NHS LINCOLNSHIRE ICB,97.5,9,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,E54000013,Lincolnshire,1725.1
"BEDFORDSHIRE, LUTON AND MILTON KEYNES",257.7,799.6,210.3,541.9,123.2,441.4,97.5,394.8,799.6,799.6,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB",94.0,9,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",E54000024,"Bedfordshire, Luton And Milton Keynes",1695.5
NOTTINGHAM AND NOTTINGHAMSHIRE,257.3,676.6,163.0,419.3,76.6,293.5,50.2,226.2,676.6,676.6,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB,97.88888888888889,9,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,E54000060,Nottingham And Nottinghamshire,2151.9
FRIMLEY,245.4,703.3,186.6,457.9,115.7,377.2,76.2,304.1,703.3,703.3,NHS FRIMLEY ICB,91.66666666666669,9,NHS FRIMLEY INTEGRATED CARE BOARD,E54000034,Frimley,1803.5
