ICB_NAME,2024/25,2025/26
EAST OF ENGLAND - H&J COMMISSIONING HUB,94.75,72.33333333333333
LONDON - H&J COMMISSIONING HUB,,
MIDLANDS - H&J COMMISSIONING HUB,,
NATIONAL COMMISSIONING HUB 1,96.5,97.66666666666667
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",91.5,92.66666666666667
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB",98.0,94.0
NHS BIRMINGHAM AND SOLIHULL ICB,89.25,87.77777777777777
NHS BLACK COUNTRY ICB,90.0,81.33333333333333
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",97.5,97.88888888888889
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",96.66666666666667,93.51851851851852
NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB,96.0,91.11111111111111
NHS CHESHIRE AND MERSEYSIDE ICB,95.19444444444444,89.30555555555556
NHS CORNWALL AND THE ISLES OF SCILLY ICB,91.25,85.5
NHS COVENTRY AND WARWICKSHIRE ICB,94.75,95.11111111111111
NHS DERBY AND DERBYSHIRE ICB,88.5,69.33333333333333
NHS DEVON ICB,89.25,88.77777777777777
NHS DORSET ICB,97.25,95.44444444444444
NHS FRIMLEY ICB,96.25,91.66666666666667
NHS GLOUCESTERSHIRE ICB,93.75,89.55555555555556
NHS GREATER MANCHESTER ICB,79.3,77.06666666666666
NHS HAMPSHIRE AND ISLE OF WIGHT ICB,89.75,86.66666666666667
NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB,86.5,86.55555555555556
NHS HERTFORDSHIRE AND WEST ESSEX ICB,77.08333333333334,79.33333333333333
NHS HUMBER AND NORTH YORKSHIRE ICB,89.08333333333334,82.05185185185185
NHS KENT AND MEDWAY ICB,83.0,93.55555555555556
NHS LANCASHIRE AND SOUTH CUMBRIA ICB,93.90625,90.97222222222223
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",97.75,98.44444444444444
NHS LINCOLNSHIRE ICB,97.0,97.5
NHS MID AND SOUTH ESSEX ICB,99.1,99.25555555555555
NHS NORFOLK AND WAVENEY ICB,98.5,98.88888888888889
NHS NORTH CENTRAL LONDON ICB,48.0,76.77777777777777
NHS NORTH EAST AND NORTH CUMBRIA ICB,97.24553571428572,95.125
NHS NORTH EAST LONDON ICB,96.5,92.55555555555556
NHS NORTH WEST LONDON ICB,91.5,92.66666666666667
NHS NORTHAMPTONSHIRE ICB,77.5,72.88888888888889
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB,97.5,97.88888888888889
"NHS SHROPSHIRE, TELFORD AND WREKIN ICB",45.75,49.77777777777778
NHS SOMERSET ICB,75.75,67.22222222222223
NHS SOUTH EAST LONDON ICB,92.75,89.66666666666667
NHS SOUTH WEST LONDON ICB,96.75,96.44444444444444
NHS SOUTH YORKSHIRE ICB,93.625,93.22222222222223
NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,89.33333333333333,81.79629629629629
NHS SUFFOLK AND NORTH EAST ESSEX ICB,96.25,92.37037037037038
NHS SURREY HEARTLANDS ICB,99.0,99.11111111111111
NHS SUSSEX ICB,78.75,82.14814814814815
NHS WEST YORKSHIRE ICB,94.95,90.97777777777777
NORTH EAST AND YORKSHIRE - H&J COMMISSIONING HUB,,
SOUTH EAST - H&J COMMISSIONING HUB,,
SOUTH WEST - H&J COMMISSIONING HUB,,
Unknown,74.5,86.44444444444444
