SUBICB_CODE,SUBICB_NAME,FY_LABEL,mean_6wk_access_pct
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,2025/26,225.0
00N,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,2025/26,15.0
00P,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,2025/26,70.0
00Q,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00Q,2025/26,175.0
00R,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00R,2025/26,50.0
00T,NHS GREATER MANCHESTER ICB - 00T,2025/26,146.66666666666666
00V,NHS GREATER MANCHESTER ICB - 00V,2025/26,145.0
00X,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,2025/26,70.0
00Y,NHS GREATER MANCHESTER ICB - 00Y,2025/26,23.333333333333332
01A,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,2025/26,90.0
01D,NHS GREATER MANCHESTER ICB - 01D,2025/26,155.0
01E,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,2025/26,65.0
01F,NHS CHESHIRE AND MERSEYSIDE ICB - 01F,2025/26,45.0
01G,NHS GREATER MANCHESTER ICB - 01G,2025/26,296.6666666666667
01H,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,2025/26,5.0
01J,NHS CHESHIRE AND MERSEYSIDE ICB - 01J,2025/26,15.0
01K,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,2025/26,250.0
01T,NHS CHESHIRE AND MERSEYSIDE ICB - 01T,2025/26,30.0
01V,NHS CHESHIRE AND MERSEYSIDE ICB - 01V,2025/26,20.0
01W,NHS GREATER MANCHESTER ICB - 01W,2025/26,141.25
01X,NHS CHESHIRE AND MERSEYSIDE ICB - 01X,2025/26,
01Y,NHS GREATER MANCHESTER ICB - 01Y,2025/26,155.0
02A,NHS GREATER MANCHESTER ICB - 02A,2025/26,136.66666666666666
02E,NHS CHESHIRE AND MERSEYSIDE ICB - 02E,2025/26,40.0
02G,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,2025/26,40.0
02H,NHS GREATER MANCHESTER ICB - 02H,2025/26,415.0
02M,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,2025/26,95.0
02P,NHS SOUTH YORKSHIRE ICB - 02P,2025/26,45.0
02Q,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q,2025/26,55.0
02T,NHS WEST YORKSHIRE ICB - 02T,2025/26,25.0
