ORG_CODE1,ORG_NAME1,ICB_NAME,FY_LABEL,mean_6wk_pct,n_months
14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,EAST OF ENGLAND - H&J COMMISSIONING HUB,2024/25,94.75,4
14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,EAST OF ENGLAND - H&J COMMISSIONING HUB,2025/26,72.33333333333333,9
14M,LONDON - H&J COMMISSIONING HUB,LONDON - H&J COMMISSIONING HUB,2025/26,,1
14Q,MIDLANDS - H&J COMMISSIONING HUB,MIDLANDS - H&J COMMISSIONING HUB,2024/25,,1
14Q,MIDLANDS - H&J COMMISSIONING HUB,MIDLANDS - H&J COMMISSIONING HUB,2025/26,,6
13Q,NATIONAL COMMISSIONING HUB 1,NATIONAL COMMISSIONING HUB 1,2024/25,96.5,4
13Q,NATIONAL COMMISSIONING HUB 1,NATIONAL COMMISSIONING HUB 1,2025/26,97.66666666666667,9
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB - 92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",2024/25,91.5,4
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB - 92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",2025/26,92.66666666666667,9
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB - M1J4Y","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB",2024/25,98.0,4
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB - M1J4Y","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB",2025/26,94.0,9
15E,NHS BIRMINGHAM AND SOLIHULL ICB - 15E,NHS BIRMINGHAM AND SOLIHULL ICB,2024/25,89.25,4
15E,NHS BIRMINGHAM AND SOLIHULL ICB - 15E,NHS BIRMINGHAM AND SOLIHULL ICB,2025/26,87.77777777777777,9
D2P2L,NHS BLACK COUNTRY ICB - D2P2L,NHS BLACK COUNTRY ICB,2024/25,90.0,4
D2P2L,NHS BLACK COUNTRY ICB - D2P2L,NHS BLACK COUNTRY ICB,2025/26,81.33333333333333,9
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB - 15C","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",2024/25,97.5,4
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB - 15C","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",2025/26,97.88888888888889,9
10Q,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 10Q","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",2024/25,99.25,4
10Q,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 10Q","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",2025/26,99.44444444444444,9
14Y,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 14Y","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",2024/25,97.0,4
14Y,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 14Y","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",2025/26,97.66666666666667,9
15A,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 15A","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",2024/25,93.75,4
15A,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 15A","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",2025/26,83.44444444444444,9
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB - 06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB,2024/25,96.0,4
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB - 06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB,2025/26,91.11111111111111,9
01F,NHS CHESHIRE AND MERSEYSIDE ICB - 01F,NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,93.0,4
01F,NHS CHESHIRE AND MERSEYSIDE ICB - 01F,NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,76.22222222222223,9
01J,NHS CHESHIRE AND MERSEYSIDE ICB - 01J,NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,96.25,4
01J,NHS CHESHIRE AND MERSEYSIDE ICB - 01J,NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,97.33333333333333,9
01T,NHS CHESHIRE AND MERSEYSIDE ICB - 01T,NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,94.5,4
01T,NHS CHESHIRE AND MERSEYSIDE ICB - 01T,NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,93.44444444444444,9
01V,NHS CHESHIRE AND MERSEYSIDE ICB - 01V,NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,95.5,4
01V,NHS CHESHIRE AND MERSEYSIDE ICB - 01V,NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,94.66666666666667,9
01X,NHS CHESHIRE AND MERSEYSIDE ICB - 01X,NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,97.75,4
01X,NHS CHESHIRE AND MERSEYSIDE ICB - 01X,NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,99.0,9
02E,NHS CHESHIRE AND MERSEYSIDE ICB - 02E,NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,90.75,4
02E,NHS CHESHIRE AND MERSEYSIDE ICB - 02E,NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,92.44444444444444,9
12F,NHS CHESHIRE AND MERSEYSIDE ICB - 12F,NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,98.75,4
12F,NHS CHESHIRE AND MERSEYSIDE ICB - 12F,NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,55.857142857142854,9
27D,NHS CHESHIRE AND MERSEYSIDE ICB - 27D,NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,91.75,4
27D,NHS CHESHIRE AND MERSEYSIDE ICB - 27D,NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,90.77777777777777,9
99A,NHS CHESHIRE AND MERSEYSIDE ICB - 99A,NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,98.5,4
99A,NHS CHESHIRE AND MERSEYSIDE ICB - 99A,NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,96.11111111111111,9
11N,NHS CORNWALL AND THE ISLES OF SCILLY ICB - 11N,NHS CORNWALL AND THE ISLES OF SCILLY ICB,2024/25,91.25,4
11N,NHS CORNWALL AND THE ISLES OF SCILLY ICB - 11N,NHS CORNWALL AND THE ISLES OF SCILLY ICB,2025/26,85.5,9
B2M3M,NHS COVENTRY AND WARWICKSHIRE ICB - B2M3M,NHS COVENTRY AND WARWICKSHIRE ICB,2024/25,94.75,4
B2M3M,NHS COVENTRY AND WARWICKSHIRE ICB - B2M3M,NHS COVENTRY AND WARWICKSHIRE ICB,2025/26,95.11111111111111,9
